episode,startTime,endTime,aliveTime,totalRewardGiven,totalPenaltyGiven,crowdingPenalty,totalPreySpawned,totalPredatorsSpawned,foodConsumed,waterConsumed,totalMating,partialMatingReward,animalKilled,reachedLifeEnd,diedFromHunger,diedFromThirst
1,0,63.34,63.34,112.460,32.353,0.700,21,0,27,8,1,1.500,0,7,12,2
2,63.34,123.34,60.00,103.297,27.570,2.117,20,0,25,9,0,0.000,0,6,14,0
3,123.34,197.66,74.32,113.200,30.158,2.267,21,0,25,9,1,1.500,0,5,13,3
4,197.66,289.00,91.34,129.354,29.651,2.783,21,0,27,9,1,1.500,0,6,12,3
5,289.00,381.66,92.66,124.809,29.733,1.967,21,0,27,9,1,1.500,0,8,12,1
6,381.66,441.66,60.00,105.930,29.442,3.467,20,0,25,8,0,0.000,0,5,14,1
7,441.66,534.32,92.66,128.313,39.997,5.125,21,0,27,10,1,1.500,0,5,15,1
8,534.32,594.32,60.00,106.144,30.283,2.033,20,0,25,10,0,0.000,0,7,10,3
9,594.32,689.00,94.68,109.031,28.760,0.933,21,0,24,9,1,1.500,0,4,13,4
10,689.00,749.00,60.00,112.262,30.776,0.167,20,0,29,7,0,0.000,0,7,11,2
11,749.00,818.66,69.66,119.558,31.298,2.733,21,0,25,10,1,1.500,0,5,13,3
12,818.66,878.66,60.00,103.191,32.875,1.250,20,0,25,7,0,0.000,0,5,15,0
13,878.66,973.66,95.00,132.782,30.509,2.183,22,0,27,9,2,3.000,0,3,17,2
14,973.66,1061.66,88.00,140.187,31.835,0.500,23,0,29,10,3,4.500,0,6,15,2
15,1061.66,1121.66,60.00,102.141,29.567,1.333,20,0,24,7,0,0.000,0,6,10,4
16,1121.66,1181.66,60.00,103.830,27.383,0.417,20,0,25,8,0,0.000,0,7,12,1
17,1181.66,1277.00,95.34,139.495,34.905,3.642,23,0,30,9,3,4.500,0,5,14,4
18,1277.00,1337.00,60.00,105.579,29.911,3.850,20,0,23,10,0,0.000,0,5,12,3
19,1337.00,1419.14,82.14,112.726,28.547,0.733,21,0,26,7,1,1.500,0,3,13,5
20,1419.14,1512.00,92.86,127.490,27.752,0.933,21,0,28,12,1,1.500,0,7,12,2
