episode,startTime,endTime,aliveTime,spawned,dead,rewardSum
1,0.00,33.32,33.32,0,1,6.383
2,33.32,93.32,60.00,0,1,11.226
3,93.32,153.32,60.00,0,2,10.034
4,153.32,186.66,33.34,0,2,9.563
5,186.66,246.66,60.00,0,2,14.895
6,246.66,280.00,33.34,0,2,13.007
7,280.00,313.34,33.34,0,1,3.583
8,313.34,346.68,33.34,0,1,2.863
9,346.68,380.02,33.34,0,2,14.447
10,380.02,432.60,52.58,0,3,17.482
11,432.60,465.94,33.34,0,1,7.823
12,465.94,506.26,40.32,0,2,0.142
13,506.26,539.60,33.34,0,1,11.103
14,539.60,599.60,60.00,0,2,12.203
15,599.60,634.94,35.34,0,1,7.803
16,634.94,668.28,33.34,0,1,7.503
17,668.28,727.62,59.34,0,1,15.210
18,727.62,787.62,60.00,0,3,20.253
19,787.62,820.96,33.34,0,2,7.806
20,820.96,854.30,33.34,0,2,7.007
21,854.30,910.98,56.68,0,2,14.451
22,910.98,951.30,40.32,0,1,7.765
23,951.30,984.64,33.34,0,1,7.503
24,984.64,1024.96,40.32,0,1,3.860
25,1024.96,1058.30,33.34,0,1,9.583
26,1058.30,1089.90,31.60,0,0,0.000
27,1089.90,1123.24,33.34,0,1,3.103
28,1123.24,1163.56,40.32,0,1,11.072
29,1163.56,1196.90,33.34,0,1,7.183
30,1196.90,1230.24,33.34,0,1,3.583
31,1230.24,1268.06,37.82,0,0,0.000
32,1268.06,1301.40,33.34,0,2,13.887
33,1301.40,1361.40,60.00,0,1,3.909
34,1361.40,1394.74,33.34,0,2,9.693
35,1394.74,1428.08,33.34,0,1,9.583
36,1428.08,1461.42,33.34,0,2,3.802
37,1461.42,1512.40,50.98,0,1,7.496
38,1512.40,1541.40,29.00,0,0,0.000
39,1541.40,1593.56,52.16,0,1,9.105
40,1593.56,1626.90,33.34,0,1,5.979
41,1626.90,1678.06,51.16,0,2,12.047
42,1678.06,1738.06,60.00,0,1,9.630
43,1738.06,1771.40,33.34,0,1,8.703
44,1771.40,1804.74,33.34,0,1,6.063
45,1804.74,1846.34,41.60,0,1,11.040
46,1846.34,1881.68,35.34,0,1,5.483
47,1881.68,1915.02,33.34,0,1,3.663
48,1915.02,1960.18,45.16,0,2,11.142
49,1960.18,2020.18,60.00,0,2,16.618
50,2020.18,2060.50,40.32,0,2,9.707
51,2060.50,2100.82,40.32,0,1,5.438
52,2100.82,2139.56,38.74,0,1,9.003
53,2139.56,2172.90,33.34,0,3,15.349
54,2172.90,2206.24,33.34,0,2,10.207
55,2206.24,2250.96,44.72,0,1,9.657
56,2250.96,2283.88,32.92,0,0,0.000
57,2283.88,2319.70,35.82,0,3,8.239
